Data,Hora,Plataforma,Tipo,Legenda,Hashtags,Notas
2026-04-25,19:00,Facebook,Comparação,"Nós vs. Outros

ELES: Presentes genéricos
NÓS: Peça Ovibeja 2026 (EXCLUSIVA)

ELES: Sem significado
NÓS: Com história portuguesa

ELES: Stock ilimitado
NÓS: Apenas 100 peças

ELES: Sem urgência
NÓS: 25% desconto ATÉ DOMINGO

ELES: Sem personalização
NÓS: 100% personalizado

Qual é a diferença?

NÓS CUIDAMOS.

Encomenda a tua peça: [link]","#Ovibeja2026 #Exclusivo #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-04-26,19:00,Instagram Feed,Inspiração,"🎨 Ideias para a Peça Ovibeja 2026:

1️⃣ Oferecer na Ovibeja
2️⃣ Guardar como memória
3️⃣ Presente para amigo/a
4️⃣ Decoração de casa
5️⃣ Investimento em arte portuguesa

Qual é a tua ideia?

Encomenda a tua peça: [link]

25% desconto ATÉ DOMINGO.","#Ovibeja2026 #Ideias #NinhoDoDragao #Presentes #Personalizados",Collage ou foto
2026-04-26,19:00,Facebook,Inspiração,"🎨 Ideias para a Peça Ovibeja 2026:

1️⃣ Oferecer na Ovibeja
2️⃣ Guardar como memória
3️⃣ Presente para amigo/a
4️⃣ Decoração de casa
5️⃣ Investimento em arte portuguesa

Qual é a tua ideia?

Encomenda a tua peça: [link]

25% desconto ATÉ DOMINGO.","#Ovibeja2026 #Ideias #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-04-27,19:00,Instagram Feed,Último Dia,"🚨 ÚLTIMO DIA: 25% DESCONTO

Peça Ovibeja 2026

De 60€ para 45€.

Depois sobe para 55€.

Apenas 100 peças (já vendidas 25!).

HOJE é o último dia.

Encomenda AGORA: [link]

Não percas! 🔥","#Ovibeja2026 #UltimoDia #NinhoDoDragao #Presentes #Personalizados",Foto com badge último dia
2026-04-27,19:00,Facebook,Último Dia,"🚨 ÚLTIMO DIA: 25% DESCONTO

Peça Ovibeja 2026

De 60€ para 45€.

Depois sobe para 55€.

Apenas 100 peças (já vendidas 25!).

HOJE é o último dia.

Encomenda AGORA: [link]

Não percas! 🔥","#Ovibeja2026 #UltimoDia #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-04-27,14:00,Email,Último Dia,"Assunto: 🚨 ÚLTIMO DIA: 25% desconto Ovibeja 2026

Corpo: ÚLTIMO DIA para aproveitar 25% de desconto! Peça Ovibeja 2026. De 60€ para 45€. Depois sobe para 55€. Apenas 100 peças (já vendidas 25!). HOJE é o último dia.","",Enviar para lista de emails
2026-04-27,15:00,WhatsApp,Último Dia,"🚨 ÚLTIMO DIA: 25% DESCONTO

Peça Ovibeja 2026

De 60€ para 45€.

Depois sobe para 55€.

Já vendidas 25 peças!

HOJE é o último dia.

Encomenda AGORA: [link]

Abraço,
Laila 💚","",Enviar para contactos WhatsApp
2026-04-28,19:00,Instagram Feed,Novo Desconto,"📢 NOVO DESCONTO: 15%

Peça Ovibeja 2026

De 60€ para 51€.

Apenas 100 peças (já vendidas 30!).

Stock a diminuir.

Encomenda agora: [link]","#Ovibeja2026 #NinhoDoDragao #Presentes #Personalizados",Foto da peça
2026-04-28,19:00,Facebook,Novo Desconto,"📢 NOVO DESCONTO: 15%

Peça Ovibeja 2026

De 60€ para 51€.

Apenas 100 peças (já vendidas 30!).

Stock a diminuir.

Encomenda agora: [link]","#Ovibeja2026 #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-04-28,14:00,Email,Novo Desconto,"Assunto: Ovibeja 2026: Novo desconto 15% (stock limitado)

Corpo: O desconto de 25% terminou, mas temos uma NOVA OFERTA! Peça Ovibeja 2026. 15% desconto (De 60€ para 51€). Apenas 100 peças (já vendidas 30!). Stock a diminuir.","",Enviar para lista de emails
2026-04-29,19:00,Instagram Feed,Testimonial 2,"💚 ""Ficou perfeito! Já encomendei mais uma!"" - Maria

Clientes satisfeitos voltam a encomendar.

Apenas 100 peças (já vendidas 35!).

15% desconto enquanto houver stock.

De 60€ para 51€.

Encomenda agora: [link]","#Ovibeja2026 #ClientesSatisfeitos #NinhoDoDragao #Presentes #Personalizados",Foto do cliente
2026-04-29,19:00,Facebook,Testimonial 2,"💚 ""Ficou perfeito! Já encomendei mais uma!"" - Maria

Clientes satisfeitos voltam a encomendar.

Apenas 100 peças (já vendidas 35!).

15% desconto enquanto houver stock.

De 60€ para 51€.

Encomenda agora: [link]","#Ovibeja2026 #ClientesSatisfeitos #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-04-30,19:00,Instagram Feed,Behind-the-Scenes,"🎨 Vê como criamos a peça Ovibeja 2026:

1. Azulejos portugueses
2. Ilustração Ovibeja
3. Personalização
4. Resultado: ARTE

Apenas 100 peças (já vendidas 40!).

15% desconto enquanto houver stock.

De 60€ para 51€.

Encomenda agora: [link]","#Ovibeja2026 #BehindTheScenes #NinhoDoDragao #Presentes #Personalizados",Vídeo ou fotos do processo
2026-04-30,19:00,Facebook,Behind-the-Scenes,"🎨 Vê como criamos a peça Ovibeja 2026:

1. Azulejos portugueses
2. Ilustração Ovibeja
3. Personalização
4. Resultado: ARTE

Apenas 100 peças (já vendidas 40!).

15% desconto enquanto houver stock.

De 60€ para 51€.

Encomenda agora: [link]","#Ovibeja2026 #BehindTheScenes #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-05-01,19:00,Instagram Feed,Urgência Contínua,"⏰ STOCK A DIMINUIR

Peça Ovibeja 2026

Apenas 100 peças (já vendidas 45!).

15% desconto enquanto houver stock.

De 60€ para 51€.

Encomenda agora: [link]","#Ovibeja2026 #NinhoDoDragao #Presentes #Personalizados",Foto da peça
2026-05-01,19:00,Facebook,Urgência Contínua,"⏰ STOCK A DIMINUIR

Peça Ovibeja 2026

Apenas 100 peças (já vendidas 45!).

15% desconto enquanto houver stock.

De 60€ para 51€.

Encomenda agora: [link]","#Ovibeja2026 #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-05-01,14:00,Email,Urgência Contínua,"Assunto: ⏰ Stock a diminuir: Ovibeja 2026 (15% desconto)

Corpo: Stock a diminuir rapidamente! Peça Ovibeja 2026. Apenas 100 peças (já vendidas 45!). 15% desconto enquanto houver stock. De 60€ para 51€.","",Enviar para lista de emails
2026-05-02,19:00,Instagram Feed,Educação 2,"💡 Porque é que a peça Ovibeja 2026 é um INVESTIMENTO?

1️⃣ Arte portuguesa autêntica
2️⃣ Edição limitada (100 peças)
3️⃣ Valor aumenta com o tempo

Resultado? Investimento que vale a pena.

Apenas 100 peças (já vendidas 50!).

15% desconto enquanto houver stock.

De 60€ para 51€.

Encomenda agora: [link]","#Ovibeja2026 #Investimento #NinhoDoDragao #Presentes #Personalizados",Infográfico
2026-05-02,19:00,Facebook,Educação 2,"💡 Porque é que a peça Ovibeja 2026 é um INVESTIMENTO?

1️⃣ Arte portuguesa autêntica
2️⃣ Edição limitada (100 peças)
3️⃣ Valor aumenta com o tempo

Resultado? Investimento que vale a pena.

Apenas 100 peças (já vendidas 50!).

15% desconto enquanto houver stock.

De 60€ para 51€.

Encomenda agora: [link]","#Ovibeja2026 #Investimento #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-05-03,19:00,Instagram Feed,Testimonial 3,"💚 ""Presente perfeito para a Ovibeja! Toda a gente quer saber onde comprei!"" - Pedro

Clientes satisfeitos recomendam.

Apenas 100 peças (já vendidas 55!).

15% desconto enquanto houver stock.

De 60€ para 51€.

Encomenda agora: [link]","#Ovibeja2026 #ClientesSatisfeitos #NinhoDoDragao #Presentes #Personalizados",Foto do cliente
2026-05-03,19:00,Facebook,Testimonial 3,"💚 ""Presente perfeito para a Ovibeja! Toda a gente quer saber onde comprei!"" - Pedro

Clientes satisfeitos recomendam.

Apenas 100 peças (já vendidas 55!).

15% desconto enquanto houver stock.

De 60€ para 51€.

Encomenda agora: [link]","#Ovibeja2026 #ClientesSatisfeitos #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-05-04,19:00,Instagram Feed,Urgência Máxima,"🚨 ÚLTIMAS PEÇAS

Peça Ovibeja 2026

Apenas 100 peças (já vendidas 60!).

10% desconto enquanto houver stock.

De 60€ para 54€.

Encomenda AGORA: [link]","#Ovibeja2026 #UltimasPeças #NinhoDoDragao",Foto com badge urgência
2026-05-04,19:00,Facebook,Urgência Máxima,"🚨 ÚLTIMAS PEÇAS

Peça Ovibeja 2026

Apenas 100 peças (já vendidas 60!).

10% desconto enquanto houver stock.

De 60€ para 54€.

Encomenda AGORA: [link]","#Ovibeja2026 #UltimasPeças #NinhoDoDragao",Mesmo que Instagram
2026-05-04,14:00,Email,Urgência Máxima,"Assunto: 🚨 Últimas peças: Ovibeja 2026 (10% desconto)

Corpo: ÚLTIMAS PEÇAS! Peça Ovibeja 2026. Apenas 100 peças (já vendidas 60!). 10% desconto enquanto houver stock. De 60€ para 54€.","",Enviar para lista de emails
2026-05-05,19:00,Instagram Feed,Comparação 2,"Presentes Genéricos vs. Peça Ovibeja 2026

GENÉRICOS: Esquecidos em 1 mês
OVIBEJA: Guardados para sempre

GENÉRICOS: Sem história
OVIBEJA: Com história portuguesa

GENÉRICOS: Sem significado
OVIBEJA: Emoção garantida

Qual é a diferença?

TUDO.

Encomenda a tua peça: [link]","#Ovibeja2026 #Exclusivo #NinhoDoDragao",Comparação visual
2026-05-05,19:00,Facebook,Comparação 2,"Presentes Genéricos vs. Peça Ovibeja 2026

GENÉRICOS: Esquecidos em 1 mês
OVIBEJA: Guardados para sempre

GENÉRICOS: Sem história
OVIBEJA: Com história portuguesa

GENÉRICOS: Sem significado
OVIBEJA: Emoção garantida

Qual é a diferença?

TUDO.

Encomenda a tua peça: [link]","#Ovibeja2026 #Exclusivo #NinhoDoDragao",Mesmo que Instagram
2026-05-06,19:00,Instagram Feed,Inspiração 2,"🎨 Porque é que a Ovibeja é PERFEITA para a peça?

1️⃣ Ambiente de festa
2️⃣ Pessoas que amam arte
3️⃣ Oportunidade de networking

Resultado? Presente que abre portas.

Apenas 100 peças (já vendidas 65!).

10% desconto enquanto houver stock.

De 60€ para 54€.

Encomenda agora: [link]","#Ovibeja2026 #Ideias #NinhoDoDragao #Presentes #Personalizados",Foto inspiradora
2026-05-06,19:00,Facebook,Inspiração 2,"🎨 Porque é que a Ovibeja é PERFEITA para a peça?

1️⃣ Ambiente de festa
2️⃣ Pessoas que amam arte
3️⃣ Oportunidade de networking

Resultado? Presente que abre portas.

Apenas 100 peças (já vendidas 65!).

10% desconto enquanto houver stock.

De 60€ para 54€.

Encomenda agora: [link]","#Ovibeja2026 #Ideias #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-05-07,19:00,Instagram Feed,Último Aviso,"ÚLTIMO AVISO

Peça Ovibeja 2026

Apenas 100 peças (já vendidas 80!).

5% desconto enquanto houver stock.

De 60€ para 57€.

Encomenda AGORA: [link]","#Ovibeja2026 #UltimoAviso #NinhoDoDragao",Foto com badge último aviso
2026-05-07,19:00,Facebook,Último Aviso,"ÚLTIMO AVISO

Peça Ovibeja 2026

Apenas 100 peças (já vendidas 80!).

5% desconto enquanto houver stock.

De 60€ para 57€.

Encomenda AGORA: [link]","#Ovibeja2026 #UltimoAviso #NinhoDoDragao",Mesmo que Instagram
2026-05-07,14:00,Email,Último Aviso,"Assunto: ÚLTIMO AVISO: Ovibeja 2026 (5% desconto)

Corpo: ÚLTIMO AVISO! Peça Ovibeja 2026. Apenas 100 peças (já vendidas 80!). 5% desconto enquanto houver stock. De 60€ para 57€.","",Enviar para lista de emails
2026-05-08,19:00,Instagram Feed,Testimonial Final,"💚 ""Adorei! Já é a 3ª peça que encomendo!"" - Filipa

Clientes fiéis voltam sempre.

Apenas 100 peças (já vendidas 90!).

5% desconto enquanto houver stock.

De 60€ para 57€.

Encomenda agora: [link]","#Ovibeja2026 #ClientesSatisfeitos #NinhoDoDragao",Foto do cliente
2026-05-08,19:00,Facebook,Testimonial Final,"💚 ""Adorei! Já é a 3ª peça que encomendo!"" - Filipa

Clientes fiéis voltam sempre.

Apenas 100 peças (já vendidas 90!).

5% desconto enquanto houver stock.

De 60€ para 57€.

Encomenda agora: [link]","#Ovibeja2026 #ClientesSatisfeitos #NinhoDoDragao",Mesmo que Instagram
2026-05-09,19:00,Instagram Feed,Urgência Final,"⏰ STOCK QUASE ESGOTADO

Peça Ovibeja 2026

Apenas 100 peças (já vendidas 95!).

5% desconto enquanto houver stock.

De 60€ para 57€.

Encomenda AGORA: [link]

Últimas 5 peças!","#Ovibeja2026 #UltimasPeças #NinhoDoDragao",Foto da peça
2026-05-09,19:00,Facebook,Urgência Final,"⏰ STOCK QUASE ESGOTADO

Peça Ovibeja 2026

Apenas 100 peças (já vendidas 95!).

5% desconto enquanto houver stock.

De 60€ para 57€.

Encomenda AGORA: [link]

Últimas 5 peças!","#Ovibeja2026 #UltimasPeças #NinhoDoDragao",Mesmo que Instagram
2026-05-09,14:00,Email,Urgência Final,"Assunto: ⏰ STOCK QUASE ESGOTADO: Ovibeja 2026

Corpo: STOCK QUASE ESGOTADO! Peça Ovibeja 2026. Apenas 100 peças (já vendidas 95!). 5% desconto enquanto houver stock. De 60€ para 57€. Últimas 5 peças!","",Enviar para lista de emails
2026-05-10,19:00,Instagram Feed,Obrigada,"💚 OBRIGADA!

Peça Ovibeja 2026 - ESGOTADA!

100 peças vendidas.

Obrigada a todos os clientes que confiaram em nós.

Próximas campanhas em breve...

Fiquem atentos! 🐉✨","#Ovibeja2026 #Obrigada #NinhoDoDragao #Sucesso",Foto celebratória
2026-05-10,19:00,Facebook,Obrigada,"💚 OBRIGADA!

Peça Ovibeja 2026 - ESGOTADA!

100 peças vendidas.

Obrigada a todos os clientes que confiaram em nós.

Próximas campanhas em breve...

Fiquem atentos! 🐉✨","#Ovibeja2026 #Obrigada #NinhoDoDragao #Sucesso",Mesmo que Instagram
2026-05-10,14:00,Email,Obrigada,"Assunto: 💚 OBRIGADA! Peça Ovibeja 2026 - ESGOTADA!

Corpo: OBRIGADA! Peça Ovibeja 2026 - ESGOTADA! 100 peças vendidas. Obrigada a todos os clientes que confiaram em nós. Próximas campanhas em breve...","",Enviar para lista de emails
